sdate,variable,value,sign_if_LT_LOD,flag
30-Apr-97,TEMP,10.5,,1
14-May-97,TEMP,10.3,,1
28-May-97,TEMP,15.1,,1
12-Jun-97,TEMP,17.6,,1
25-Jun-97,TEMP,16.3,,1
09-Jul-97,TEMP,22.1,,1
23-Jul-97,TEMP,22,,1
04-Aug-97,TEMP,17.5,,1
20-Aug-97,TEMP,22,,1
08-Sep-97,TEMP,15.8,,1
17-Sep-97,TEMP,14.1,,1
30-Sep-97,TEMP,14.4,,1
15-Oct-97,TEMP,12,,1
29-Oct-97,TEMP,9.3,,1
12-Nov-97,TEMP,8.2,,1
26-Nov-97,TEMP,8.2,,1
11-Dec-97,TEMP,7.2,,1
07-Jan-98,TEMP,4.4,,1
21-Jan-98,TEMP,4.7,,1
04-Feb-98,TEMP,3.9,,1
18-Feb-98,TEMP,8,,1
04-Mar-98,TEMP,6.2,,1
18-Mar-98,TEMP,6.9,,1
01-Apr-98,TEMP,8.8,,1
15-Apr-98,TEMP,7,,1
29-Apr-98,TEMP,10.8,,1
13-May-98,TEMP,14.8,,1
27-May-98,TEMP,15.7,,1
10-Jun-98,TEMP,13.8,,1
24-Jun-98,TEMP,15.8,,1
08-Jul-98,TEMP,17.2,,1
22-Jul-98,TEMP,15.7,,1
05-Aug-98,TEMP,15.7,,1
19-Aug-98,TEMP,16.5,,1
02-Sep-98,TEMP,16.6,,1
16-Sep-98,TEMP,14,,1
30-Sep-98,TEMP,14.5,,1
14-Oct-98,TEMP,11.6,,1
29-Oct-98,TEMP,8.2,,1
12-Nov-98,TEMP,7.1,,1
26-Nov-98,TEMP,5.4,,1
10-Dec-98,TEMP,5,,1
07-Jan-99,TEMP,5.4,,1
21-Jan-99,TEMP,4.9,,1
09-Feb-99,TEMP,5.8,,1
18-Feb-99,TEMP,4.2,,1
04-Mar-99,TEMP,4.9,,1
17-Mar-99,TEMP,6.1,,1
01-Apr-99,TEMP,8,,1
15-Apr-99,TEMP,8.9,,1
29-Apr-99,TEMP,13,,1
13-May-99,TEMP,13,,1
27-May-99,TEMP,14.9,,1
10-Jun-99,TEMP,15.7,,1
24-Jun-99,TEMP,16.1,,1
08-Jul-99,TEMP,19.4,,1
22-Jul-99,TEMP,16.7,,1
05-Aug-99,TEMP,20.7,,1
23-Aug-99,TEMP,16.4,,1
02-Sep-99,TEMP,16.7,,1
16-Sep-99,TEMP,16,,1
30-Sep-99,TEMP,14.5,,1
14-Oct-99,TEMP,12,,1
28-Oct-99,TEMP,10.8,,1
11-Nov-99,TEMP,9.1,,1
25-Nov-99,TEMP,7.6,,1
21-Dec-99,TEMP,3.9,,1
06-Jan-00,TEMP,5.1,,1
19-Jan-00,TEMP,4.8,,1
16-Feb-00,TEMP,5.1,,1
01-Mar-00,TEMP,5.7,,1
15-Mar-00,TEMP,7.9,,1
29-Mar-00,TEMP,8,,1
10-Apr-00,TEMP,8,,1
27-Apr-00,TEMP,9.5,,1
11-May-00,TEMP,15.2,,1
24-May-00,TEMP,15,,1
07-Jun-00,TEMP,14.2,,1
22-Jun-00,TEMP,17.1,,1
05-Jul-00,TEMP,17.8,,1
19-Jul-00,TEMP,18.3,,1
02-Aug-00,TEMP,19,,1
16-Aug-00,TEMP,17.8,,1
30-Aug-00,TEMP,18.4,,1
13-Sep-00,TEMP,16.6,,1
27-Sep-00,TEMP,15,,1
11-Oct-00,TEMP,11,,1
25-Oct-00,TEMP,9.8,,1
08-Nov-00,TEMP,7.3,,1
22-Nov-00,TEMP,6.3,,1
06-Dec-00,TEMP,8.2,,1
20-Dec-00,TEMP,6.1,,1
10-Jan-01,TEMP,3.7,,1
07-Feb-01,TEMP,3.8,,1
21-Feb-01,TEMP,4.4,,1
18-Apr-01,TEMP,7.9,,1
03-May-01,TEMP,10.3,,1
16-May-01,TEMP,14.8,,1
30-May-01,TEMP,16.4,,1
13-Jun-01,TEMP,14.8,,1
27-Jun-01,TEMP,17.7,,1
11-Jul-01,TEMP,18.8,,1
25-Jul-01,TEMP,17.1,,1
08-Aug-01,TEMP,18.2,,1
22-Aug-01,TEMP,17.6,,1
05-Sep-01,TEMP,16.8,,1
19-Sep-01,TEMP,13.4,,1
03-Oct-01,TEMP,13.2,,1
17-Oct-01,TEMP,12.7,,1
31-Oct-01,TEMP,11.7,,1
14-Nov-01,TEMP,8.3,,1
28-Nov-01,TEMP,7.5,,1
12-Dec-01,TEMP,6.4,,1
09-Jan-02,TEMP,3.1,,1
23-Jan-02,TEMP,6.3,,1
06-Feb-02,TEMP,6.8,,1
20-Feb-02,TEMP,6.7,,1
08-Mar-02,TEMP,6,,1
20-Mar-02,TEMP,6.9,,1
03-Apr-02,TEMP,9.2,,1
18-Apr-02,TEMP,10.3,,1
01-May-02,TEMP,10,,1
15-May-02,TEMP,12.2,,1
30-May-02,TEMP,12.2,,1
12-Jun-02,TEMP,14,,1
26-Jun-02,TEMP,15.1,,1
10-Jul-02,TEMP,15,,1
24-Jul-02,TEMP,16.7,,1
07-Aug-02,TEMP,20.9,,1
21-Aug-02,TEMP,18.9,,1
04-Sep-02,TEMP,18.1,,1
18-Sep-02,TEMP,16.8,,1
02-Oct-02,TEMP,15.5,,1
16-Oct-02,TEMP,12.1,,1
30-Oct-02,TEMP,8.8,,1
13-Nov-02,TEMP,7.9,,1
27-Nov-02,TEMP,6.9,,1
11-Dec-02,TEMP,4.9,,1
08-Jan-03,TEMP,2.7,,1
22-Jan-03,TEMP,5.1,,1
05-Feb-03,TEMP,3.2,,1
19-Feb-03,TEMP,2.6,,1
05-Mar-03,TEMP,6.5,,1
19-Mar-03,TEMP,6.5,,1
02-Apr-03,TEMP,8.5,,1
16-Apr-03,TEMP,11.1,,1
30-Apr-03,TEMP,11.3,,1
14-May-03,TEMP,11.3,,1
28-May-03,TEMP,13,,1
